ID,Title,Novelty,Novelty_Justification,Tractability,Tractability_Justification,Feasibility,Feasibility_Justification,Confidence,Confidence_Justification,Ecological_Impact,Ecological_Impact_Justification,Skill_Fit,Skill_Fit_Justification,Aggregate
BF-03-i,Time-since-fire reburn probability surfaces,7,No gridded reburn probability product exists despite ecological basis from Tepley and Whitman,8,Clean data (CanadaFireSat + NBAC) with well-defined prediction target and established ML methods,8,All data open; Landsat archive + fire perimeters freely available; no fieldwork required initially; modest compute,7,Ecological relationship well-established (fuel recovery → reburn); main risk is spatial heterogeneity across ecoregions,7,Direct fire management application; would inform resource pre-positioning and fuel break prioritization,9,Classic remote sensing + ML pipeline: Landsat time series + LightGBM/RF + spatial cross-validation,7.7
BF-03-ii,Overwintering fire detection from pre-greenup imagery,8,Nobody has attempted pre-greenup detection of overwintering fires from satellite; genuinely unexploited phenological window,5,Signal from underground smoldering may be weak from space; labeled positives are scarce (dozens of confirmed events),6,Sentinel-2 data available but needs Baltzer group collaboration for field validation; few labeled examples limits supervised learning,4,High null-result risk: spectral signal from subsurface smoldering may be undetectable at 10 m resolution,6,Quantifies a poorly understood fire pathway but overwintering fires are a small fraction of total reburns,7,Remote sensing change detection is core skill but needs field validation expertise and ecological interpretation,6.0
BF-03-iii,Conifer-to-deciduous conversion mapping,6,Zheng et al. 2024 demonstrated the approach for one megafire; this is scaling + integration with needleleaf index rather than invention,7,Landsat archive is clean; spectral unmixing well-established; needleleaf index provides improved spectral tool,7,Open data throughout; ABoVE provides validation; moderate compute for pan-boreal unmixing,7,Conifer/deciduous spectral separation well-established; link between conversion rate and reburn probability needs testing but is plausible,7,Directly informs whether boreal forest is undergoing irreversible vegetation type conversion — major ecological question,8,Spectral unmixing + time series analysis + classification: strong remote sensing skill set,7.0
BF-09-i,10 m treeline ecotone from ICESat-2 + Sentinel-2,7,Fusion approaches exist (2025 MAE 1.42 m) but not at ecotone-gradient structural level mapping height + cover + density,7,ICESat-2 and Sentinel-2 data open; deep learning regression is established; ALS validation from national surveys available,7,Needs ALS validation data (available from SLU and Luke); moderate compute; no fieldwork for initial product,7,ICESat-2 ecotone study (88% detection) and prior fusion work suggest signal is there; main risk is sparse ICESat-2 coverage at ecotone,6,Ecotone mapping is scientifically important for understanding treeline dynamics but indirect short-term conservation impact,9,Deep learning regression + multi-sensor fusion + satellite data processing: core ML/RS skill set,7.2
BF-09-ii,Treeline advance rate from 40-year Landsat,6,Berner and Feng produced input maps; this is trend analysis on existing data products rather than methodological novelty,8,Clean Landsat archive; BFAST is established and well-documented; ERA5 for attribution readily available,8,Fully open data; low-moderate compute; no fieldwork needed for initial analysis,7,Landsat NDVI trends in the ecotone are measurable; attribution to climate drivers is harder but feasible at ecoregion scale,7,Advance rates are the fundamental input that treeline-shift and carbon models need; quantifies a key climate indicator,8,Time series analysis + satellite data + trend detection + climate attribution: well-matched skill set,7.3
BF-09-iii,Krummholz detection from VHR satellite imagery,9,Nobody has mapped individual krummholz patches from satellite; genuinely novel application of object detection to treeline front,5,VHR commercial data is expensive and limited coverage; krummholz patches are small and visually ambiguous at sub-meter scale,4,Requires VHR satellite data access (costly); drone campaigns for training data; field GPS surveys; partnership-dependent,5,May work for large krummholz patches but miss small ones; scale of objects pushes even VHR resolution limits,6,Scientifically interesting as earliest detectable signal of treeline advance but limited direct conservation application,7,Object detection is strong ML skill but needs field access and ecological interpretation of what counts as krummholz,6.0
BF-01-i,SAR-optical fusion for sub-100 ha fire detection,7,SAR-optical fusion for burned area exists conceptually but not specifically implemented for small boreal fire detection,7,Sentinel-1 and Sentinel-2 open data; NBAC fire perimeters as labels; dual-encoder architectures well-established,7,Open data; moderate compute; need to handle cloud masking and missing-modality fusion but this is a solved engineering problem,6,SAR backscatter change for fire is demonstrated but noisy for small fires; the cloud-gap filling value is real but accuracy uncertain,7,Detecting missing 50% of burned area has direct carbon accounting and fire management implications,9,Multi-sensor deep learning with attention masking: core ML/remote sensing skill set,7.2
BF-01-ii,Sentinel-3 SLSTR night-time thermal fire detection,7,SLSTR fire products exist for tropics but not optimized for high-latitude boreal; dual-view advantage unexploited,6,SLSTR at 1 km is coarse for small fires; dual-view adds complexity; thermal fire detection well-understood algorithmically,7,Open Sentinel-3 data; ESA archive accessible; moderate compute; standard algorithm development,5,1 km resolution means small fires still likely missed; the advantage over VIIRS 375 m is uncertain and may be marginal,6,Incremental temporal coverage improvement over VIIRS rather than transformative for fire monitoring,7,Algorithm development on thermal satellite data; less ML-heavy than other ideas but computationally focused,6.3
BF-01-iii,Prescribed burn verification in Fennoscandia,7,Nobody has applied satellite monitoring to verify outcomes of conservation prescribed burns in boreal Fennoscandia,7,Sentinel-2 time series clean and available; prescribed burn locations documented by Luke and Swedish forestry agencies,7,Open satellite data; need agency collaboration for burn records and field assessment data but agencies are receptive,6,Low-intensity burns produce subtle spectral signal; but multi-year trajectory analysis should be detectable at 10 m,5,Important for Fennoscandian conservation management but geographically narrow; limited global relevance,7,Satellite time series analysis and classification; less computationally demanding but well-matched,6.5
BF-06-i,NISAR L-band InSAR in forested discontinuous permafrost,8,First satellite L-band InSAR in forested permafrost; NISAR creates an opportunity that did not exist before 2026,6,InSAR processing in forested terrain technically challenging: coherence maintenance + atmospheric + ionospheric artifacts at L-band,6,NISAR data open but InSAR time series processing requires specialized expertise and significant compute; need borehole validation,6,UAVSAR proof-of-concept encouraging but airborne ≠ satellite (different baselines and geometry); L-band coherence in dense boreal forest unproven from orbit,8,Landscape-scale permafrost monitoring has major climate and carbon implications; fills a fundamental measurement gap,7,InSAR processing is specialized remote sensing skill with steep learning curve but computationally focused,6.8
BF-06-ii,Multi-sensor permafrost vulnerability mapping,7,Individual sensors applied to permafrost but InSAR + optical + thermal fusion for vulnerability classification not published for forested terrain,6,Multiple data streams to spatiotemporally harmonize; permafrost state classification (stable/degrading/thawed) requires expert labeling,6,Open data; moderate compute; need permafrost domain expert for labeling and validation of vulnerability categories,6,Multi-sensor fusion should improve over single-sensor but added value needs demonstration; risk of marginal improvement,7,Vulnerability maps directly inform infrastructure planning and conservation in permafrost regions,8,Multi-sensor fusion + ML classification: core skill set; strong computational angle,6.7
BF-06-iii,Fire-permafrost interaction mapping from InSAR,8,InSAR measurement of post-fire subsidence acceleration at satellite scale not demonstrated; bridges fire and permafrost problems,6,Same InSAR challenges as BF-06-i plus complexity of fire effects on surface coherence; charred surfaces may improve or degrade signal,5,Dependent on NISAR data quality; needs fire perimeter data and partnership with Veraverbeke/Zwieback groups; multi-year timeline,6,Field studies confirm the effect exists; satellite detection uncertain but if fire scars improve coherence that itself is a useful finding,8,Fire-permafrost feedback is a major positive feedback loop in the climate system; quantifying it at scale has high value,7,InSAR + fire science intersection; specialized but computationally focused,6.7
BF-18-i,NISAR L-band windthrow severity mapping,7,L-band SAR for windthrow severity classification is physically motivated but untested,7,NISAR data open; storm events frequent in Fennoscandia; national forest inventory and ALS provide reference data,7,Open data; moderate compute; need ALS damage maps for training labels which are available from Luke and SLU,6,L-band should provide complementary structural information via volume scattering but improvement over C-band uncertain,5,Storm damage detection is operationally useful for salvage planning but ecological impact is modest,8,SAR processing + classification: core remote sensing skill set,6.7
BF-18-ii,Near-real-time windthrow alerting pipeline,6,Underlying SAR change detection methods established; novelty is in the operational pipeline and triggering mechanism,7,Sentinel-1 data streaming; well-defined signal (backscatter change after storm); z-score anomaly detection straightforward,7,Open data; requires software engineering for operational pipeline; need agency partnership for end-use deployment,7,Sentinel-1 windthrow detection demonstrated at 0.88 producer accuracy; the operational wrapping is engineering not research,5,Reduces bark beetle outbreak risk through faster salvage logging; operationally important but ecologically modest impact,8,Data engineering + remote sensing + operational system building: good ML-adjacent skill set,6.7
BF-19-i,Boreal BirdNET fine-tuning with circumpolar data,6,BirdNET fine-tuning demonstrated for other regions (Italian Alps 2025); applying to circumpolar boreal is regional transfer not methodological novelty,7,BirdNET open-source; training data available from Xeno-canto and Luomus archives; fine-tuning pipeline well-documented,7,Open models and data; moderate compute; need audio expertise and species identification skills for quality control,7,Fine-tuning reliably improves BirdNET for regional applications (demonstrated multiple times across biomes),6,Enables scalable biodiversity monitoring in boreal but impact depends on subsequent deployment and adoption,8,Transfer learning + audio ML + model fine-tuning: strong ML skill fit,6.8
BF-19-ii,Foundation model multi-taxon boreal classifier,8,Multi-taxon boreal acoustic classifier does not exist; foundation model approach for boreal audio is novel,6,Foundation models are new and performance on boreal audio uncertain; multi-taxon labeling harder than bird-only,6,Foundation models are open (some); multi-taxon training data harder to assemble; mammal and amphibian audio data much scarcer than bird,5,Foundation models may not outperform BirdNET for birds; added value for non-bird taxa is speculative until tested,7,Multi-taxon monitoring captures broader biodiversity information; moves beyond bird-centric assessment,8,Foundation models + transfer learning + audio ML: strong ML skill set; cutting-edge methods,6.7
BF-19-iii,Acoustic phenology as climate indicator,8,Acoustic phenology in boreal forests is genuinely novel; 2024 PNAS paper established the concept but no boreal application exists,5,Requires multi-year continuous PAM data (3+ years minimum); phenological event detection hard to automate for non-bird taxa,5,Need long-term PAM deployments (may need to set up new ones); partnership with phenology networks required; multi-year timeline,5,Concept is scientifically interesting but link between acoustic phenology and ecological process phenology is speculative,6,Novel climate indicator but acoustic phenology alone does not drive conservation decisions directly,7,Time series analysis + event detection + some audio ML: reasonable skill match,6.0
BF-16-i,IFL fragmentation risk forecasting,8,No forward-looking IFL fragmentation model exists; all current monitoring is retrospective,6,Multiple data sources to integrate; fire projections inherently uncertain; model validation limited by short IFL monitoring period (2000-2020),6,Open data; moderate compute; fire projections from CMIP6 available; but need infrastructure and concession boundary data,5,Forecasting 10-30 years with fire + climate + infrastructure is inherently uncertain; 7-year holdout validation is weak,8,Proactive IFL protection has major conservation value; shifting from reactive documentation to predictive planning,7,Spatiotemporal ML + scenario analysis: computationally focused but requires conservation planning domain knowledge,6.7
BF-16-ii,Connectivity-optimized IFL protection planning,7,Zonation applied to boreal retention forestry but not specifically to IFL connectivity under climate-driven fire change,7,Zonation 5 available with corridor algorithms; input data (IFL boundaries + protected areas + species habitat) all available,7,Software available and documented; data open; moderate effort; need species habitat models which exist for caribou and wolverine,7,Zonation is well-validated for conservation planning; connectivity analysis is standard spatial ecology,8,Direct conservation planning application; identifies actionable protection priorities with clear policy relevance,6,Conservation planning software rather than heavy ML; more GIS and spatial optimization than deep learning,7.0
BF-02-i,SAR-based active fire perimeter tracking,7,SAR fire monitoring demonstrated for individual events but not systematically for boreal fire progression mapping,6,SAR backscatter change for fire is noisier than thermal/optical; perimeter delineation from SAR harder than from infrared,7,Open Sentinel-1 data; NBAC perimeters for training/validation; moderate compute,5,SAR fire detection has lower accuracy than thermal; may provide supplementary rather than primary perimeters; value is gap-filling,6,Improved fire progression data enables better spread prediction training; indirect but real impact on fire management,8,SAR processing + deep learning segmentation: core remote sensing/ML skill set,6.5
BF-02-ii,Pan-boreal next-day fire risk with GNN,7,GNN for fire exists (FireCastNet) but not at pan-boreal next-day resolution with landscape connectivity encoding,6,Pan-boreal data assembly is large effort; GNN on landscape graph computationally expensive; BCWildfire covers BC only,5,Assembling pan-boreal fire data from multiple agencies and formats is a major data engineering challenge; large compute needed,6,GNNs show promise for spatial prediction; generalization across fire regimes (Shield vs. boreal plains vs. Fennoscandia) is the key risk,7,Operational fire risk prediction has direct safety and resource management benefits across the boreal zone,8,Graph neural networks + spatiotemporal deep learning: strong and current ML skill set,6.5
