ID,Title,Novelty,Novelty_Justification,Tractability,Tractability_Justification,Feasibility,Feasibility_Justification,Confidence,Confidence_Justification,Ecological_Impact,Ecological_Impact_Justification,Skill_Fit,Skill_Fit_Justification,Aggregate
BF-01,Small and low-intensity fires missed by satellite monitoring,4,Well-studied problem with many papers on burned area mapping. UNet++ and similar approaches are recent but the problem space is crowded. Novelty is in operational deployment not methods.,7,Clean satellite data (Landsat/Sentinel-2) with clear evaluation metrics (burned area vs. reference). Existing benchmarks and training data. Signal is strong for moderate-to-large burns.,6,Freely available satellite data. Compute manageable. But validation of small-fire detection requires airborne reference data or field verification that adds cost and logistics.,7,High confidence that improved detection is achievable -- Potter et al. 2026 already showed F1=0.85. The question is incremental improvement toward operational deployment.,6,Important for carbon accounting accuracy. Small fires individually have small impact but collectively matter. Not an existential ecological question.,8,Classic ML + remote sensing problem. Image segmentation on satellite data is a core competency for someone with strong deep learning skills.,6.3
BF-02,No operational fire spread prediction for boreal forests,6,ML-based fire spread prediction for boreal forests is thin. The BCWildfire benchmark appeared only in 2024. Boreal-specific physics-informed ML is largely unexplored.,5,Hard problem: heterogeneous fuels and complex topography create high-dimensional prediction space. Limited training data for rare extreme events. Fire spread is partially chaotic.,5,BCWildfire dataset freely available. But operational integration requires fire agency partnerships and real-time data pipelines that go beyond academic research.,5,Real risk of null result: fire spread may be too stochastic for useful prediction at operational timescales. Weather prediction errors compound into fire prediction errors.,8,Better prediction saves lives and improves resource allocation. The 2023 Canadian season (15-18 Mha) demonstrated the human cost of inadequate prediction.,7,Deep learning on spatiotemporal data is a strong match. Physics-informed ML and multimodal data fusion are good growth areas. Domain expertise needed but not binding.,6.0
BF-03,Short-interval reburns increasing with no operational reburn risk product,8,Very few computational products exist for reburn probability mapping. The fire atlas provides infrastructure but nobody has built the integration layer. A genuine gap.,6,Data exists: fire history from satellite archives and weather projections from climate models. Clear target variable (did reburn occur?). But training data for short-interval reburns is sparse because events were rare until recently.,6,Satellite fire history freely available. Fire weather projections from climate models accessible. Fuel recovery trajectories need some field calibration but literature provides starting points.,6,Plausible that a reburn probability model would outperform the current baseline (which is nothing). Ecological consequences of type conversion are harder to predict but the risk mapping itself is tractable.,8,Reburns can trigger irreversible biome conversion -- black spruce to deciduous shrubland. This is a regime shift with century-scale carbon consequences. Over 400k ha reburned in NWT in 2023 alone.,7,ML classification/regression on remote sensing time series. Spatial risk modeling. Good fit for someone who can build predictive models from satellite-derived features.,6.8
BF-04,Spectral recovery after fire does not indicate ecological recovery,7,Well-documented mismatch in individual papers but no operational product distinguishes spectral from compositional recovery. The gap between documentation and solution is the novelty.,5,Distinguishing conifer from deciduous regrowth is possible with red-edge and hyperspectral data but not easy at scale. Ground truth for compositional recovery is sparse across the boreal zone.,5,Requires long time series (decades) and species-level validation data. Hyperspectral satellite missions (CHIME/SBG) not yet operational. HLS and Sentinel-2 red-edge are available now but may not suffice.,5,Could likely distinguish broad categories (conifer vs. deciduous) but fine-scale compositional recovery assessment from orbit may not achieve the accuracy needed for carbon accounting.,7,Systematic bias in post-fire carbon accounting has real consequences for climate policy. If spectral recovery masks compositional shifts the carbon models are wrong.,7,Time series analysis and multi-sensor fusion are strong ML fits. Species-level classification from satellite data is a well-defined computer vision problem.,6.0
BF-05,Boreal carbon sink weakening but monitoring too coarse for regional attribution,5,Carbon sink monitoring is heavily studied at global scale. Regional attribution using multi-source satellite fusion is less developed for the boreal specifically but conceptually familiar.,4,Multiple interacting causes (fire/insects/drought/logging/permafrost) at different scales. Atmospheric inversions give continental estimates. Disentangling causes at useful spatial resolution is genuinely hard.,4,Requires integrating OCO-2 and GOSAT inversions with SIF and LiDAR biomass and fire emissions and ground flux data. Large-scale data fusion across very different data types. Multi-year effort.,4,Real risk that the problem is too underdetermined. Atmospheric inversions cannot isolate sub-regional drivers with current satellite coverage. Ground data too sparse for validation.,9,Fundamental question for climate policy. If the boreal sink has flipped to a source (as 2023 data suggest for Canada) this changes global carbon budgets and UNFCCC commitments.,6,Data fusion and ML regression are applicable. But atmospheric science and carbon cycle modeling are deep specialist domains. The binding constraint is domain knowledge not computation.,5.3
BF-06,Permafrost thaw monitored at point scale but not landscape scale in forested regions,7,InSAR permafrost monitoring in tundra is established. Forested permafrost is the hard frontier. NISAR L-band is brand new (operational Jan 2026) and its forest-permafrost products don't exist yet.,5,Fundamental physics challenge: L-band InSAR has better coherence through vegetation than C-band but still noisy. Signal extraction from forested terrain requires novel processing approaches.,6,NISAR data freely available since Feb 2026 through ASF DAAC. Processing infrastructure exists. But field validation of permafrost measurements requires access to remote boreal-permafrost overlap zones.,5,Uncertain whether NISAR L-band will be sufficient for permafrost monitoring under forest canopy. May need multi-year data stacking. The sensor is new and the answer is genuinely unknown.,9,Fire-permafrost feedback may be the most dangerous positive feedback in the boreal carbon system. Turetsky et al. 2020 estimate abrupt thaw could double the permafrost carbon feedback.,6,InSAR processing and time series analysis are learnable technical skills. But SAR interferometry is specialized and the permafrost interpretation requires geophysics knowledge.,6.3
BF-07,Boreal peatland methane emissions rising but cannot be attributed at landscape scale,6,Methane monitoring from TROPOMI is active. Landscape-scale attribution in peatlands is less developed. The fusion of multiple sensor types for process attribution is somewhat novel.,4,Diffuse emissions and episodic ebullition and coarse satellite resolution create a genuinely hard inverse problem. Top-down and bottom-up estimates disagree by 2-3x after years of effort.,4,Requires combining TROPOMI methane and InSAR water table and SAR wetland mapping and likely eddy covariance ground data. Multi-sensor multi-domain fusion with sparse ground truth.,4,High risk that the problem remains underdetermined at landscape scale. The top-down/bottom-up disagreement has persisted despite new satellite data. Incremental progress likely but breakthrough unlikely.,8,Methane is 80x more potent than CO2 over 20 years. If boreal peatland methane is increasing due to warming this is a critical climate feedback. Understanding attribution enables intervention.,5,Atmospheric inversions and wetland biogeochemistry are deep specialist domains. The ML angle is mostly data fusion which fits but the domain expertise gap is wide. [SKILL FIT BIAS: score reflects computational profile not importance],5.2
BF-08,Boreal soil carbon stocks below 30 cm are essentially unmapped,6,InSAR-based peat thickness estimation is new. Most SOC models stop at 30 cm. The deep-peat mapping angle is genuinely underexplored.,4,Remote sensing cannot directly measure deep soil carbon. All approaches are indirect proxies (subsidence rates and vegetation type and topography). The heterogeneity of peatland carbon at sub-100m scales is well-documented.,4,Deep soil coring for validation is expensive destructive and logistically hard in remote boreal terrain. Existing training data for deep peat is very sparse (NCSCDv2 has 25-50% uncertainty).,4,Uncertain whether indirect proxies can predict deep SOC at useful accuracy. The spatial variability of peat depth and carbon density is high and may exceed what satellite proxies can resolve.,7,Deep SOC is the pool that matters most for permafrost carbon feedback. Underestimating it means underestimating climate risk. Also relevant for peatland restoration carbon credits.,5,ML regression with sparse training data and indirect features. The problem is solvable in principle but the data limitations are binding. Fieldwork capacity would matter more than ML expertise.,5.0
BF-09,Boreal tree cover shifting northward but treeline ecotone poorly resolved,6,Treeline monitoring from space is active but the ecotone resolution problem is specific and the fusion approach (ICESat-2 height + spectral data for continuous mapping) is well-defined and less explored.,7,ICESat-2 provides height samples at footprint resolution. Sentinel-2/Landsat provide spectral data. The fusion problem has clear inputs and outputs. Well-posed regression/classification.,6,Freely available satellite data. Compute manageable. But validation at the ecotone requires measurements in remote high-latitude locations. Field logistics are expensive.,6,Reasonable confidence that fusing LiDAR height with spectral data can improve treeline mapping beyond current products. The continuous-gradient nature makes evaluation tricky but the approach is sound.,6,Treeline advance affects albedo (dark forest absorbs more than tundra) and carbon stocks. Important but the advance is slow (decades) and the albedo feedback is smaller than fire/permafrost feedbacks.,8,Multi-sensor data fusion + ML regression/classification at landscape scale. This is a natural fit for strong remote sensing and ML skills. The computational challenge is well-matched.,6.5
BF-10,Bark beetle outbreaks cannot be detected early enough from satellites,5,Heavily studied problem with many papers on spectral detection. The multi-scale integration (satellite + UAV) is somewhat novel but not a new idea.,5,Fundamental resolution-coverage tradeoff. Green attack phase is at the detection limit of Sentinel-2. The spectral signal only becomes reliable at moderate-to-severe defoliation which is too late.,5,Satellite data available. Drone surveys require field access and operational capacity. Multi-scale integration adds logistical complexity. Partnerships with forest management agencies needed.,5,Moderate. Sentinel-2 alone likely cannot achieve reliable green-attack detection. Drone augmentation works at plot scale but doesn't scale to landscape. The tradeoff may be fundamental.,7,Bark beetles are expanding northward into boreal Fennoscandia. Economic losses from the 2018-2022 European outbreak exceeded 500M cubic meters of spruce. Damage is accelerating.,7,Computer vision and change detection and multi-scale analysis are good ML fits. Drone image processing adds a hands-on component. The resolution-coverage tradeoff is a systems design problem.,5.7
